Assigned to,animation_url,image,Moto Name,Top Chassis,Side Cart,Pattern,Color,Number Plate,Top Chassis is Correct?,Side Cart in Metadata is Correct?,Pattern # is Correct?,Color # is Correct?,Number Plate is Correct?,Any Other Animation Issues?,Any Other Image Issues?
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_8G2YM1O860MO3.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_8G2YM1O860MO3.jpeg,Moto,Exotic,None,Pattern 6,Color 1,WW-125,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_S1C4J6MHND6E4.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_S1C4J6MHND6E4.jpeg,Moto,Exotic,None,Pattern 0,Color 1,WW-126,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_VZ8RSCZSF7UB7.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_VZ8RSCZSF7UB7.jpeg,Moto,Exotic,Side Cart,Pattern 2,Color 3,WW-127,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_H69B93O9EZ0R8.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_H69B93O9EZ0R8.jpeg,Moto,Exotic,None,Pattern 1,Color 4,WW-128,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_WBET4D1B8ZBM5.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_WBET4D1B8ZBM5.jpeg,Moto,Exotic,None,Pattern 7,Color 8,WW-129,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_MO14HKK59WN24.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_MO14HKK59WN24.jpeg,Moto,Exotic,None,Pattern 1,Color 2,WW-130,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_JY6UFU5T21WH1.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_JY6UFU5T21WH1.jpeg,Moto,Exotic,None,Pattern 11,Color 2,WW-131,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_1VFEQ6AWN9BQT.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_1VFEQ6AWN9BQT.jpeg,Moto,Exotic,Side Cart,Pattern 8,Color 0,WW-132,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_0X8VVULFV3QTB.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_0X8VVULFV3QTB.jpeg,Moto,Exotic,None,Pattern 1,Color 4,WW-133,,,,,,,
sma11#8959,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Videos/Moto_TCS6BZUM89X0Y.mp4,https://wilder-moto-testing.s3.eu-central-1.amazonaws.com/Folder1/Moto_TCS6BZUM89X0Y.jpeg,Moto,Exotic,None,Pattern 1,Color 0,WW-134,,,,,,,
